Name,Bio,Pic,Title,Abstract,Checked?
Joost van Dongen,"Joost van Dongen is known for his previous game Proun, and as lead programmer and co-founder of Ronimo Games, the studio behind the hit indie games Awesomenauts, Swords & Soldiers and De Blob. Joost regularly writes about creating games on his development blog at www.joostvandongen.com.",https://pbs.twimg.com/profile_images/1604657837/Joost.jpg,Cello Fortress,"Cello Fortress is a unique combination of a game and a live music performance. A cellist defends a fortress by improvising on his cello. Melodies control the guns, dissonant notes activate the flamethrowers. Players from the audience use game controllers to steer their tanks and attack the fortress. The cellist plays live music, while at the same time controlling the game to be a fun challenge for the players. Cello Fortress is an innovative experiment that blends concert and game.",
Hilary Parker,"Senior data analyst at Etsy, co-founder of the Not So Standard Deviations podcast.",http://joyofcoding.org/img/speakers/hilaryparker.png,,,
Jeroen Janssens,"I'm an assistant professor of data science at Tilburg University. As an independent consultant and trainer, I help organizations making sense of their data. Previously, I was a data scientist at Elsevier in Amsterdam and startups YPlan and Outbrain in New York City. I have an MSc in artificial intelligence from Maastricht University and a PhD in machine learning from Tilburg University. Recently, I wrote a book titled <a href=""http://datascienceatthecommandline.com/"">Data Science at the Command Line</a>, which was published by O'Reilly Media.",http://joyofcoding.org/img/speakers/jeroenjanssens.png,The Joy of Not Coding,"It's generally good practice to stick to one programming language for a particular project. The code will most likely be more consistent, more stable, and easier to maintain. However, sometimes, when you just need to get stuff done, it can be more effective to mix and match.
For example, you want to make use of a fast image processing library written in C++, only you happen to be coding in JavaScript. Or consider the situation where you previously solved a certain problem in R, and now you need to solve that same problem again for a Python-based project. It's situations like these that can take the joy out of coding.
Don't despair. In this talk I discuss several tricks to mix and match both languages and tools so you can get stuff done. What's more, you'll be able to spend more time coding on the truly interesting problems. Joy!",
Philip Wadler,"Professor at the University of Edinburgh, contributed to the design of Haskell, Java, and XQuery.",http://joyofcoding.org/img/speakers/philipwadler.png,Category theory for the working hacker,"We explain why category theory is of interest for developers. The principle of Propositions as Types describes a correspondence between propositions and proofs in logic, on the one hand, and types and programs in computing, on the other. Category theory constitutes a third leg of this correspondence, a doctrine that Robert Harper has christened 'computational trinitarianism'.",
Stefan Tilkov,"Co-founder and principal consultant at innoQ, host at Software Engineering Radio.",http://joyofcoding.org/img/speakers/stefantilkov.png,Building Microservices in Clojure,"One of the key tenets of the microservice architecture approach is isolation, allowing individual developers or teams to make local decisions. Clojure, a practical Lisp running on top of the JVM, has already done a lot to increase Lisp’s popularity outside of academic circles. Let’s combine the two to address the remaining doubts about its suitability for the real world! This talk will introduce both the architectural concept and the language, and show how you can combine tools from the Clojure and Java ecosystem to build Clojure-based microservices in practice.",
Corey Haines,"Co-founder/CTO of Hearken, creator of Understanding the Four Rules of Simple Design.",http://joyofcoding.org/img/speakers/coreyhaines.png,"I don't know Prolog, and so can you","Prolog is a wildly popular declarative logic programming language that all the hot startups and whiz kids are using these days. So, being neither a hot startup nor a whiz kid, I figured I'd learn it. In this talk, I'll share some of the early learnings I've had that can only be considered ""mind-bending."" 
We'll look at a bit of the syntax, the solver model and then dive into some wild and crazy list operations. Finding all the combinatorial variations of a list using the function isMember? Yup! We'll do that.
If you are anything like me, and I know you are, you'll come away from this talk saying ""I'm sold! PROLOG FOREVER!""",
Emily Bache,"Software developer at Pagero, Author of The Coding Dojo Handbook and (upcoming) Mocks Fakes and Stubs.",http://joyofcoding.org/img/speakers/emilybache.png,Coding Dojo,"In this hands-on session we will be working on a rather smelly piece of code which helpfully has a fairly comprehensive suite of automated tests. Refactoring is one of the key skills of Test-Driven Development, and this is your chance to really practice it. The idea is not to rewrite the code from scratch, but rather, by taking small refactoring steps, gradually transform the code into a paragon of readability and elegance.

We'll be stepping into the Coding Dojo together, which is a safe place designed for learning, where it doesn’t matter if we make mistakes. In fact all the code will be thrown away afterwards. You should feel free to experiment, try out different refactoring approaches, and get feedback from your peers. The great thing about this Kata is that since the tests are very good and very quick to run, they will catch every little refactoring mistake you make. You should experience how programming is supposed to be &mdash; smooth, calm, and always minutes away from committable code.

The last part of the session is the retrospective, when we discuss what we've learnt, and how we can apply our new skills in our daily production code. The code kata we'll be looking at is ""Tennis"", and the starting code is available <a href=""https://github.com/emilybache/Tennis-Refactoring-Kata"">here</a>. (Java, Python, C++, etc). If you want to practice using your familiar development tools, please download the code and set up a project in advance of the session. Otherwise you can just come and use the cyber-dojo practice environment, which runs in a browser.",OK
Melinda Seckington,"Ruby developer at FutureLearn, an event organizer at Geeks of London and a blogger at MissGeeky.com",http://joyofcoding.org/img/speakers/melindaseckington.png,The Marvel Guide For Developers,"Forget ninja developers and rockstar developers. What I'm more interested in is the superhero developer: these are the developers that do their best to help others, that try to give back to their community, and generally make the world a better place. 

So how can we all strive to be superhero developers? Using the origin stories and lessons from Marvel superheroes, this talk will help you become the type of developer that amplifies and helps others. ",OK
Ian Cooper,"Microsoft developer in government, healthcare, and finance &mdash; founder of the London .NET user group.",http://joyofcoding.org/img/speakers/iancooper.png,The Joy of Microservices,"Given the pain and suffering that we itemize when talking about microservices, it's sometimes hard to remember why we ever wanted to build them in the first place. In this talk we forget about all that for just half-an-hour to look the joy working in a microservices environment can bring you. We will dispense some hope about why it is all worth it, so that you can remember the sunny uplands when clambering through the pit of despair.",
Rolf Hut,"I am a scientist at Delft University of Technology. I solve my problems using a MacGyver attitude. I build measurement devices using scavanged parts from consumer-electronics. I connect existing online data sources to answer relevant scientific questions. I encourage my students to learn by discovering, building and doing. I am a restless jack of all trades that likes to organize and run events. I am a public speaker on science and technology. I write a monthly column in the Dutch national newspaper ""De Volkskrant"". I host workshops for audiences ranging from festival-goers to primary school kids. My workshops show, hands-on, that technology is fun and that technology is for everyone, not only for beta-nerds. I am, most of all, endlessly curious. ",https://i.ytimg.com/vi/2plx37XHNxI/maxresdefault.jpg,Internet of Things that your non-dev brother can build,"""I wish I could connect my lamp to the internet, but I know nothing about all that ""technology"" stuff that you do"". Sounds familiar? In my workshop I will be teaching the teachers: I'll be giving you the tools to help your non-dev, non-technology-minded relatives have physical objects (lamps, motors, sensors) in their houses interact with the online world. We'll be posting sensor readings on twitter and we'll be activating lamps based on online weather forecasts. All using no solder: just plug and play electronics. And no code!
To be precise, we'll be using the Seeedstudio Grove system, coupled to the Particle Photon, coupled to IFTTT. 
Of course, since you are devs, after setting up the click and play, no code examples you can share with your relatives, we will dive deeper in the system, changing the firmware on the photon to do our biding, making API calls from our own websites, etc.
After the workshop, you'll have the opportunity to buy the equipment used to continue playing at home.",OK
